audio	n_frames	sr	src_text	vtgttxt
common_voice_en_78232.mp3	46080	48000	I WISH YOU WOULDN'T	v7911
common_voice_en_544890.mp3	51840	48000	ALL THE BEST	v27660
common_voice_en_86005.mp3	51840	48000	WILD-GOOSE CHASE	v18575
common_voice_en_557962.mp3	55296	48000	HE'S ON THE TELEPHONE	v31775
common_voice_en_552064.mp3	55296	48000	WHERE DO YOU COME FROM	v25540
common_voice_en_513863.mp3	55296	48000	THEY'LL TAKE CARE OF IT	v892
common_voice_en_652285.mp3	55296	48000	THEN WHOSE IS IT	v26088
common_voice_en_544873.mp3	56448	48000	THEY'LL TAKE CARE OF IT	v8374
common_voice_en_153795.mp3	57600	48000	WE CAN BOTH HEAR	v11874
common_voice_en_221976.mp3	57600	48000	ONE THAT WILL WRITE	v7744
common_voice_en_35570.mp3	57600	48000	I TORE HIM APART	v23562
common_voice_en_532793.mp3	57600	48000	HIGH VOLTAGE	v29957
common_voice_en_3115.mp3	57600	48000	YOU HAVE NO CHILDREN	v2636
common_voice_en_121676.mp3	57600	48000	JOIN THE CLUB	v21446
common_voice_en_121866.mp3	57600	48000	IT'S ON THE LEVEL	v10231
common_voice_en_121955.mp3	57600	48000	IS IT A GOOD JOB	v2208
common_voice_en_212185.mp3	58752	48000	YOU THINK YOU DID	v14398
common_voice_en_78090.mp3	58752	48000	THIS IS CHRISTMAS EVE	v8056
common_voice_en_499018.mp3	58752	48000	CATCH A COLD	v21375
common_voice_en_560230.mp3	59904	48000	YOU THINK YOU DID	v24164
common_voice_en_121653.mp3	59904	48000	HE'S IN THE DESK	v31882
common_voice_en_17724245.mp3	61056	48000	YOU DON'T SAY SO	v25541
common_voice_en_17704790.mp3	61056	48000	AS SURE AS I AM ALIVE	v30916
common_voice_en_662155.mp3	61056	48000	WHAT ELSE ARE YOU	v27216
common_voice_en_78162.mp3	61056	48000	I'VE GOT TO SEE HIM	v11497
common_voice_en_652792.mp3	61056	48000	TRY IT AGAIN	v22094
common_voice_en_652233.mp3	61056	48000	WHAT DID YOU HAVE	v28468
common_voice_en_586892.mp3	61056	48000	WE WANT TO SEE YOU	v1245
common_voice_en_499216.mp3	61056	48000	SWIFT AS A SHADOW	v24911
common_voice_en_646090.mp3	62208	48000	PLEASE LET ME COME IN	v15587
